Track Name,Artist Name,Album,Track Pop
Kaadhal Rojave,S. P. Balasubrahmanyam,Roja,59
"Ennavale Adi Ennavale (From ""Kaadhalan"")",Unnikrishnan,P. Unnikrishnan Birthday Special Hit Songs 2019,46
Swasamae,S. P. Balasubrahmanyam,Thenali,43
Kadhal Sadugudu,S.P. Charan,Alaipayuthey,63
Vennilave Vennilave Vinnai,Hariharan,Minsara Kanavu (Original Motion Picture Soundtrack),0
En Kadhale,S. P. Balasubrahmanyam,Duet,53
Moongil Thottam,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),59
"Poovukkul (From ""Jeans"")",Unnikrishnan,Hits of A.R.Rahman Nenjame,47
Anbil Avan,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),63
Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,9
Pachai Nirame,Hariharan,Alaipayuthey,59
Dating,A.R. Rahman,Boys,0
Omana Penne,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),54
Pudhu Vellai Mazhai,Unni Menon,Roja,60
Newyork Nagaram,A.R. Rahman,Sillunu Oru Kadhal (Original Motion Picture Soundtrack ),66
Chikkubukku Chikkubukku Railea,Sure Peters,Gentleman,50
Yaakkai Thiri,A.R. Rahman,Aayitha Ezhutu (Original Motion Picture Soundtrack),59
Girlfriend,A.R. Rahman,Boys,37
Telephone Mani Pol,Harini,Indian,51
"Thanga Thamari Magale (From ""Minsara Kanavu"")",S. P. Balasubrahmanyam,SPB - The Voice For A Millennium,0
Santhosha Kanneere,Febi,Uyire (Original Motion Picture Soundtrack),50
Andha Arabi Kadaloram,A.R. Rahman,Bombay (Original Motion Picture Soundtrack),0
Innum Konjam Naeram,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),64
Adiye,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),45
Kannamoochchi Yaenada,K. S. Chithra,Kandukondain Kandukondain,42
Kannukku Mai Azhagu - Male,A.R. Rahman,Pudhiya Mugam (Original Motion Picture Soundtrack),43
Kannalane,K. S. Chithra,Bombay,48
Usure Pogudhey,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),65
Azhagana Rakshasiyea,S. P. Balasubrahmanyam,Mudhalvan (Original Motion Picture Soundtrack),43
En Veettu Thottathil,S. P. Balasubrahmanyam,Gentleman,49
Kaattrae En Vaasal - Wind,Unnikrishnan,Rhythm,59
"Enakke Enakkaa (From ""Jeans"")",S.P. Pallavi,Valentine's Day Special 2015,45
"Malargaley - From ""Love Birds""",K. S. Chithra,Love Notes of A. R. Rahman,0
Uyire Uyire,Hariharan,Bombay,53
Maanaamadurai,Unni Menon,Minsara Kanavu (Original Motion Picture Soundtrack),0
Kathalikkum Penin Kaikal,S. P. Balasubrahmanyam,Kaadhalan,58
Rasathi,A.R. Rahman,Thiruda Thiruda (Original Motion Picture Soundtrack),46
Minnalea En Vazhvin,S. P. Balasubrahmanyam,May Madham,50
Varaaha Nathi,Shankar Mahadevan,Sangamam (Original Motion Picture Soundtrack),0
"Velli Malare (From ""Jodi"")",S. P. Balasubrahmanyam,S.P.Balasubramaniyam Hits,54
Narumugaiyeh Narumugaiyeh,Unnikrishnan,Iruvar,51
Enna Solla Pogirai,Shankar Mahadevan,Kandukondain Kandukondain,64
Chinna Chinna Asai,Minmini,Roja,51
Aathangarai Maramea Adhil,Mano,Kizhakku Cheemayile,57
Manasukkul Oru Puyal,S. P. Balasubrahmanyam,Star,41
Enna Vilai,A.R. Rahman,Kadhalar Dhinam,3
Uppu Karuvaadu,Shankar Mahadevan,Mudhalvan (Original Motion Picture Soundtrack),46
Netru Illatha Maatram,A.R. Rahman,Pudhiya Mugam (Original Motion Picture Soundtrack),50
Kurukku Siruthvalea,Hariharan,Mudhalvan (Original Motion Picture Soundtrack),49
Mukkala Mukkabla,Mano,Kaadhalan,58
Jumballakka,Rafee,En Swasa Kaatre,53
Nenjam Ellam,A.R. Rahman,Aayitha Ezhutu (Original Motion Picture Soundtrack),50
Secret of Success,A.R. Rahman,Boys,0
Mustafaa Mustafaa,Kadhal Desam,Kadhal Desam,52
Azhagiye,A.R. Rahman,Kaatru Veliyidai (Original Motion Picture Soundtrack),55
